,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
10148_at,0.0014287836045656424,0.05520478851593635,0.0014287092259634418,0.0014291138778669292,0.20125617912419758,0.0014287637033327878,0.7335362596166992,0.001428909557590859,0.0014298731882616178,0.0014286195855853225
10151_at,0.012500331036387523,0.012500206010416504,0.012500220395623764,0.012500099579751582,0.8874945073146624,0.012500279415173933,0.012501195756634975,0.012502744781143271,0.012500144971262825,0.012500270738943343
10152_at,0.14721734884167592,0.001961147216185205,0.0019612076656480015,0.001960976125133567,0.001961713709275259,0.001961116927634427,0.0019611106428832647,0.37154403784071666,0.46750999154440065,0.001961349486447037
10154_at,0.001234817011373101,0.001234974621489211,0.001234798480173074,0.001234767621904187,0.0012348609193191093,0.0012347071012047512,0.8455943527362185,0.0012347777577478734,0.14452733287719152,0.001234610873378755
10155_at,0.0008001700515777622,0.0008001070842347906,0.0008001865374119656,0.0008001849522961835,0.000800181638530177,0.28606947021222556,0.0008001102003393757,0.0008003260654088069,0.20238615187656062,0.5059431113814149
10156_at,0.05237576246131244,0.04844227603611947,0.03228674664418604,0.860442310075945,0.0010755504307030073,0.0010755159342123045,0.0010755130170806133,0.001075452071853808,0.0010754634422410723,0.001075409886346232
10157_at,0.004000841496141833,0.004001221077688833,0.2842516216985728,0.004000319368983745,0.6222831300696807,0.06546013229882981,0.004000973245519245,0.004000704024347496,0.004000598457474967,0.0040004582627604585
10158_at,0.020043958603629675,0.433523736030524,0.2470922752635228,0.0014928373707778838,0.04158956831896052,0.0014926607590691153,0.0014928062025668812,0.21399980513640862,0.021778661633734382,0.017493690680806247
10159_at,0.0050007549954009375,0.005001029366827237,0.005002073707730135,0.330128745240722,0.6298618774190183,0.005001242070055416,0.00500050296756798,0.005001560723245058,0.005001015291653687,0.0050011982177792375
10160_at,0.002273367669542404,0.0022732016581918446,0.0022731307837184876,0.002273035981378502,0.0022732361570177023,0.0022728778947214427,0.0022730970629647332,0.15217147800599487,0.8296437757091716,0.0022727990772984613
10161_g_at,0.0017550199124691183,0.0017547897249357376,0.001754667378467542,0.001754628102527545,0.0017548669088333028,0.0017544885902900506,0.0017547282824972223,0.16045609152794385,0.8255062910318329,0.001754428540202711
10162_at,0.0014287088630526566,0.0014289118551311106,0.12638448138052158,0.0014290978996007728,0.001428990891717859,0.07374900711016413,0.0014287168308077297,0.7898647033083889,0.001428716853991546,0.0014286650066236946
10163_at,0.00102050428929522,0.1502362470643674,0.05626347877873358,0.6635360851641701,0.0010206884248975309,0.12384090507266035,0.0010205100813883833,0.0010204827712067058,0.0010205567198913162,0.0010205416333893633
10164_at,0.0016952586155473252,0.27639987158434953,0.2655108163700573,0.3800225597726131,0.0016956152216958374,0.0016953851598032876,0.03991481956851577,0.0016951668363885113,0.0016954193545418654,0.02967508751648744
10166_at,0.9839259508230805,0.0017858185646374009,0.0017860226087039674,0.001786364251690173,0.00178579026782103,0.0017858552915637701,0.0017859679566307478,0.0017860555833403254,0.001786071300318203,0.001786103352213946
10167_at,0.01670305794078765,0.0006758259402052928,0.0006758279141128951,0.0006761216632646568,0.0006759002376337049,0.0006763201582804363,0.000675777726742867,0.0006758527750014835,0.04771024880533889,0.9308550668386321
10169_at,0.0010753186378426507,0.0010753967322786728,0.35272054411327863,0.0010753681924710848,0.001075466351172456,0.0010753195465608078,0.22649699927285566,0.41325489249143016,0.0010753824124285442,0.0010753122496815176
10171_at,0.0012197355760289288,0.0012196296236097436,0.0012196247225706096,0.5964078765481265,0.0012197547124355567,0.2262502573441332,0.0012195737536101871,0.0012196256699098065,0.0012196636140782936,0.16880425843549712
10173_at,0.0015153127532067665,0.001515326416689387,0.08829545305356655,0.0015152273892054867,0.23039144590361174,0.0015153055718773905,0.0015155737760956113,0.2617033194843567,0.41051777280221025,0.0015152628491802939
10176_at,0.0035717271836827333,0.0035721616591595485,0.003572541510806635,0.0035716035467703282,0.003572086941448742,0.003572094604499535,0.0035719505571570817,0.28953854552938163,0.6818853805292581,0.0035719079378356763
10177_at,0.0020417591648181086,0.0020409676626426065,0.0020413488465908514,0.002041474338475466,0.00204097700236053,0.9816293006986745,0.002040934470647095,0.002040908609773375,0.0020410427097133877,0.002041286496304155
10179_at,0.003571936630366227,0.1355575776677724,0.003572737620192071,0.0035723659708049673,0.7297490394079729,0.0035718986961674128,0.05632117486707328,0.05693927353787655,0.003572234767222561,0.00357176083455143
10180_at,0.2999530597505052,0.2746701017078785,0.06459026620491304,0.25915297461842624,0.0011629360912645665,0.09581807379779719,0.0011630893237081937,0.0011631942213627647,0.0011633842970035016,0.0011629199871407499
10181_at,0.001470634792721257,0.09464344954050753,0.4305015590247056,0.0014707928084381782,0.0014712709828467684,0.0014707332213093802,0.36842386323741627,0.0014710308015593067,0.09760600102558814,0.001470664564907599
10186_s_at,0.002222506919166031,0.0022223300630774324,0.09703206781758868,0.0022222676261085574,0.8851892757198025,0.0022222911028079773,0.002222339856814925,0.002222331103232488,0.002222326026512106,0.002222263764889178
10188_at,0.0017243854033264412,0.001724218519016728,0.534012584728309,0.0017244147436018373,0.0017242611304263869,0.0017243505897573397,0.40956547184853975,0.001724308131054719,0.0017244107286286043,0.04435159417733919
10189_at,0.0014928989905415907,0.0014929495819186885,0.0014926846840851943,0.0014928632147275414,0.12644547202917536,0.0014926552640521006,0.8616119286931945,0.0014931185193570757,0.0014927711306843604,0.0014926578922634032
