,labels,probabilities
10778_at,4,0.9916505032757469
10781_at,2,0.776677337508045
10789_f_at,2,0.9634405058981674
10791_at,2,0.9328752165884624
10794_at,5,0.9705733426218034
10795_at,4,0.8893024358384831
10796_at,3,0.9559742301003592
10799_at,2,0.989776195671719
10800_at,3,0.9798101700365544
10802_at,4,0.9621498564326939
10807_at,6,0.9988307187822454
10811_at,2,0.686460469128398
10813_s_at,6,0.7935633536469155
10814_s_at,5,0.9677776608013904
10819_at,2,0.9711788910334382
10821_g_at,2,0.5061911840316324
10825_at,2,0.8838008790925889
10827_s_at,5,0.9648587759310039
10832_s_at,2,0.9793007105465857
10839_at,4,0.9582156545561146
10843_at,2,0.9331218909520478
10849_at,2,0.9228963856992826
10850_at,2,0.8390113504419467
10851_at,2,0.6229299399976937
10853_at,2,0.9906594022933715
10854_at,3,0.9745206092768678
10856_at,3,0.9911997546849368
10857_at,3,0.9720767576160688
10858_s_at,5,0.9909078400686849
10860_s_at,7,0.999491257661074
10862_s_at,5,0.962169107254408
10867_s_at,5,0.994011983517614
10868_at,5,0.9092807961508793
10874_at,7,0.8135075529175684
10880_at,3,0.997680714775579
10881_at,7,0.7705756457808429
10884_at,6,0.7132012730487362
10885_at,3,0.9876892378310154
10890_at,2,0.8249221201510837
10891_at,7,0.9619608869189253
10893_s_at,3,0.9959353462287426
10895_at,3,0.9990522031243614
10896_at,2,0.9139170061141197
10897_at,2,0.9730558055104692
10898_at,3,0.9974822471311273
10901_at,2,0.8846050742012694
10902_at,6,0.9529733247145795
10906_at,7,0.9864908344468672
10907_at,5,0.7308424851283634
10910_at,6,0.8450258193003505
10912_at,0,0.9997104366138888
10914_at,5,0.9907125340741855
10915_at,5,0.991435548763568
10916_at,3,0.9981490469057779
10917_at,3,0.995899012891947
10919_at,2,0.8155526516265302
10921_at,6,0.9881477719654324
